Date,FestivalName,TypeofFestival
26-01-2019,RepublicDay,National
10-02-2019,SaraswatiPuja,National
04-03-2019,MahaShivaratri,State/National
21-03-2019,Holi,National
06-04-2019,Ugadi,State
06-04-2019,Ram Navmi (Day 1),State
07-04-2019,Ram Navmi (Day 2),State
08-04-2019,Ram Navmi (Day 3),State
09-04-2019,Ram Navmi (Day 4),State
10-04-2019,Ram Navmi (Day 5),State
11-04-2019,Ram Navmi (Day 6),State
12-04-2019,Ram Navmi (Day 7),State
13-04-2019,Ram Navmi (Day 8),State
14-04-2019,Baisakhi /Ram Navami,State
15-04-2019,Vishu,State
17-05-2019,BuddhaPurnima,National
05-06-2019,Eidal-Fitr,National
12-08-2019,Bakrid/Eidal-Adha,National
15-08-2019,IndependenceDay,National
02-09-2019,GaneshChaturthi,State/National
10-09-2019,Onam(Day1),State
11-09-2019,Onam(Day2),State
12-09-2019,Onam(Day3),State
13-09-2019,Onam(Day4-Thiruvonam),State
29-09-2019,Navratri(Day1),State
30-09-2019,Navratri(Day2),State
01-10-2019,Navratri(Day3),State
02-10-2019,Navratri(Day4),State
03-10-2019,Navratri(Day5),State
04-10-2019,Navratri(Day6),State
05-10-2019,Navratri(Day7),State
06-10-2019,Navratri(Day8),State
07-10-2019,Navratri(Day9),State
08-10-2019,Dussehra,National
25-10-2019,Dhanteras,National
27-10-2019,Diwali,National
12-11-2019,GuruNanakJayanti,National
25-12-2019,Christmas,National/International
15-01-2020,Pongal(Day1),State
16-01-2020,Pongal(Day2-MattuPongal),State
26-01-2020,RepublicDay,National
29-01-2020,SaraswatiPuja,National
25-03-2020,Ram Navmi (Day 1),State
26-03-2020,Ram Navmi (Day 2),State
27-03-2020,Ram Navmi (Day 3),State
28-03-2020,Ram Navmi (Day 4),State
29-03-2020,Ram Navmi (Day 5),State
30-03-2020,Ram Navmi (Day 6),State
31-03-2020,Ram Navmi (Day 7),State
01-04-2020,Ram Navmi (Day 8),State
02-04-2020,Ram Navmi (Day 9),State
10-03-2020,Holi,National
25-05-2020,Eidal-Fitr,National
01-08-2020,Bakrid/Eidal-Adha,National
15-08-2020,IndependenceDay,National
16-10-2020,Navratri(Day1),State
17-10-2020,Navratri(Day2),State
18-10-2020,Navratri(Day3),State
19-10-2020,Navratri(Day4),State
20-10-2020,Navratri(Day5),State
21-10-2020,Navratri(Day6),State
22-10-2020,Navratri(Day7),State
23-10-2020,Navratri(Day8),State
24-10-2020,Navratri(Day9),State
25-10-2020,Dussehra,National
12-11-2020,Dhanteras,National
14-11-2020,Diwali,National
25-12-2020,Christmas,National/International
13-01-2021,Lohri,State
14-01-2021,MakarSankranti,State/National
16-02-2021,SaraswatiPuja,National
